split,cell_id,group,comparator,stratum,U_stratum,C_stratum,low_bins,high_bins,overlap_mass,weight,excess_NLL,Q1_U,Q5_U,Q1_M,Q5_M,Q1_C,Q5_C
consumed,70#15,PC_ON,LN,7,2,2,420,246,246,0.08798283261802575,-0.03927313440757524,0.32815051944463836,0.3249167507945946,-0.21386570635581198,-0.13242447336499646,0.17846525422610285,0.19928743139409075
consumed,70#15,PC_ON,LN,8,2,3,420,270,270,0.09656652360515021,-0.027955389114743375,0.3251059423051109,0.30920080573608477,-0.08120483098651415,-0.05983574583919512,0.45760925475832276,0.48095297622300376
consumed,70#15,PC_ON,LN,9,2,4,114,168,114,0.0407725321888412,0.008237050843691777,0.3219049639117561,0.31113966826316236,0.032818078455564226,-0.23026874429446512,0.9773766932469842,1.4285929496982135
consumed,70#15,PC_ON,LN,10,2,5,0,258,0,0.0,,,0.30496255791377885,,-0.17696208851195352,,5.794542445411342
consumed,70#15,PC_ON,LN,11,3,1,150,228,150,0.0536480686695279,-0.02324781059354608,0.538883643001318,0.5694750304775018,-0.538883643001318,-0.5383454842100802,0.040370054990053174,0.04460896540580219
consumed,70#15,PC_ON,LN,12,3,2,246,138,138,0.04935622317596566,-0.01125725942893973,0.5339223939880002,0.5323999292500641,-0.5086646768060036,-0.49163546656136925,0.1888444631065174,0.19972573662095744
consumed,70#15,PC_ON,LN,13,3,3,234,204,204,0.07296137339055794,-0.0233734711260287,0.5383234154433012,0.5369807297418661,-0.2894199059273188,-0.22402064658372717,0.4875071876262015,0.4720635992450886
consumed,70#15,PC_ON,LN,14,3,4,96,222,96,0.034334763948497854,0.019566850025390457,0.5545926412160043,0.5555665079831473,-0.34873504829010926,0.032516697534938924,1.1358541136469285,1.1309287910167964
consumed,70#15,PC_ON,LN,15,3,5,0,150,0,0.0,,,0.5567158631980419,,-0.14942243382334708,,4.588486487418413
consumed,70#15,PC_ON,LN,16,4,1,420,192,192,0.06866952789699571,-0.03319045413271222,0.7616629138588905,0.7731285658665001,-0.7616629138588905,-0.7157422327436507,0.031063799666506905,0.02690573548898101
consumed,70#15,PC_ON,LN,17,4,2,186,132,132,0.04721030042918455,-0.0031301088950324513,0.7372748762849839,0.7440189184112982,-0.6939982817538323,-0.7440189184112982,0.1858999347013812,0.18225834163075144
consumed,70#15,PC_ON,LN,18,4,3,282,156,156,0.055793991416309016,-0.03246466292839573,0.7615082780731485,0.7492533091169137,-0.3247303173263022,-0.5437886365331136,0.48000215022686,0.5490099586940442
consumed,70#15,PC_ON,LN,19,4,4,174,312,174,0.06223175965665236,0.0008203024263561726,0.8119980815219981,0.8223313338015802,-0.1339063578574308,0.1759638134211015,1.0861671905531067,1.3062058755077977
consumed,70#15,PC_ON,LN,20,4,5,0,174,0,0.0,,,0.7638746196532558,,-0.4199090441046604,,6.070456206316835
consumed,70#15,PC_ON,LN,21,5,1,0,54,0,0.0,,,4.475103658106592,,4.475103658106592,,0.0625942846139272
consumed,70#15,PC_ON,LN,22,5,2,0,114,0,0.0,,,4.843497773534374,,4.843497773534374,,0.1897317773025287
consumed,70#15,PC_ON,LN,23,5,3,12,132,12,0.004291845493562232,0.16902104473468682,1.134002149105072,4.489321225746111,1.134002149105072,4.489321225746111,0.5750535279512405,0.5004706878045743
consumed,70#15,PC_ON,LN,24,5,4,72,402,72,0.02575107296137339,-0.004617794395520625,1.5326334645360475,4.100887752819195,1.5326334645360475,4.100887752819195,1.407434533063982,1.3958507759718974
consumed,70#15,PC_ON,LN,25,5,5,108,1278,108,0.03862660944206009,0.022880359435890653,3.29783788540711,5.025790855292878,3.29783788540711,5.025790855292878,3.6610744451888118,4.340840624353494
consumed,70#15,PC_ON,CNN,1,1,1,156,60,60,0.02145922746781116,0.02740287963174333,0.09284304444120678,0.08966466255369596,-0.026293714279465627,-0.0427298890252132,0.04577562069943479,0.059655147761804986
consumed,70#15,PC_ON,CNN,2,1,2,282,132,132,0.04721030042918455,-0.017133980735002448,0.10929915502276073,0.1017344933689773,-0.030987645270292984,-0.0044033982697080564,0.18735369626417794,0.18789173343115675
consumed,70#15,PC_ON,CNN,3,1,3,390,288,288,0.10300429184549356,-0.07490093343904723,0.10103266989328684,0.10604236005747225,-0.018684827460226816,-0.02636871981182291,0.48482461277341754,0.4868299751591015
consumed,70#15,PC_ON,CNN,4,1,4,54,96,54,0.019313304721030045,-0.02092594567505112,0.09629001752990815,0.08566802142377128,0.0135728659418722,0.012856174220360117,0.9960391653391222,1.1299448129539087
consumed,70#15,PC_ON,CNN,5,1,5,12,126,12,0.004291845493562232,-0.14798299244949195,0.06516058393754065,0.11246089547196225,-0.04760961304418743,-0.025189441642613105,2.447869599564001,5.508632928900798
consumed,70#15,PC_ON,CNN,6,2,1,420,186,186,0.06652360515021459,0.024006956846842686,0.3250451153925886,0.31048282172020164,-0.20659821360937453,-0.2688182551158412,0.04789858499009694,0.06101296534912
consumed,70#15,PC_ON,CNN,7,2,2,420,246,246,0.08798283261802575,0.010963210505551158,0.32815051944463836,0.3249167507945946,-0.21386570635581198,-0.13242447336499646,0.17846525422610285,0.19928743139409075
consumed,70#15,PC_ON,CNN,8,2,3,420,270,270,0.09656652360515021,-0.012240247601211118,0.3251059423051109,0.30920080573608477,-0.08120483098651415,-0.05983574583919512,0.45760925475832276,0.48095297622300376
consumed,70#15,PC_ON,CNN,9,2,4,114,168,114,0.0407725321888412,-0.053705385296040145,0.3219049639117561,0.31113966826316236,0.032818078455564226,-0.23026874429446512,0.9773766932469842,1.4285929496982135
consumed,70#15,PC_ON,CNN,10,2,5,0,258,0,0.0,,,0.30496255791377885,,-0.17696208851195352,,5.794542445411342
consumed,70#15,PC_ON,CNN,11,3,1,150,228,150,0.0536480686695279,0.001906062377183374,0.538883643001318,0.5694750304775018,-0.538883643001318,-0.5383454842100802,0.040370054990053174,0.04460896540580219
consumed,70#15,PC_ON,CNN,12,3,2,246,138,138,0.04935622317596566,-0.08553445280018034,0.5339223939880002,0.5323999292500641,-0.5086646768060036,-0.49163546656136925,0.1888444631065174,0.19972573662095744
consumed,70#15,PC_ON,CNN,13,3,3,234,204,204,0.07296137339055794,-0.01846681997234378,0.5383234154433012,0.5369807297418661,-0.2894199059273188,-0.22402064658372717,0.4875071876262015,0.4720635992450886
consumed,70#15,PC_ON,CNN,14,3,4,96,222,96,0.034334763948497854,0.033424390179086244,0.5545926412160043,0.5555665079831473,-0.34873504829010926,0.032516697534938924,1.1358541136469285,1.1309287910167964
consumed,70#15,PC_ON,CNN,15,3,5,0,150,0,0.0,,,0.5567158631980419,,-0.14942243382334708,,4.588486487418413
consumed,70#15,PC_ON,CNN,16,4,1,420,192,192,0.06866952789699571,-0.05149303518995365,0.7616629138588905,0.7731285658665001,-0.7616629138588905,-0.7157422327436507,0.031063799666506905,0.02690573548898101
