group,mode,channel,profile,region,n_cells,current_overshoot_above_plateaus,previous_overshoot_above_plateaus,delta_overshoot_above_plateaus,current_undershoot_below_plateaus,previous_undershoot_below_plateaus,delta_undershoot_below_plateaus,current_max_minus_upper_plateau,previous_max_minus_upper_plateau,delta_max_minus_upper_plateau,current_min_minus_lower_plateau,previous_min_minus_lower_plateau,delta_min_minus_lower_plateau,current_max_x_pixels,previous_max_x_pixels,delta_max_x_pixels,current_min_x_pixels,previous_min_x_pixels,delta_min_x_pixels
all,H1_off,probability,ramp,dark_boundary,22,0.00018536434932188555,0.00023343955928629094,-4.807520996440541e-05,-0.00035536627877842295,-0.00039683451706712896,4.1468238288706e-05,-0.009952194650064815,-0.010669853538274765,0.0007176588882099499,0.015707241201942616,0.015700643374161286,6.597827781330455e-06,-3.272727272727273,-3.227272727272727,-0.045454545454545456,-3.590909090909091,-3.5454545454545454,-0.045454545454545456
PC_OFF,H1_off,probability,ramp,bright_boundary,4,0.0,0.0,0.0,-0.00023230165243148804,-0.0003761220723390579,0.00014382041990756989,-0.05305492877960205,-0.051499150693416595,-0.0015557780861854553,-0.00023230165243148804,-0.0003761220723390579,0.00014382041990756989,2.0,2.0,0.0,5.0,4.75,0.25
all,H1_off,probability,ramp,bright_boundary,22,0.00038442591374570674,0.00043717602437192744,-5.27501106262207e-05,-0.00015451217239553279,-0.00019467181780121544,4.015964540568265e-05,-0.016837526112794876,-0.016896520487286827,5.899437449195168e-05,0.00954136083071882,0.010200256651098078,-0.0006588958203792572,3.590909090909091,3.5454545454545454,0.045454545454545456,3.272727272727273,3.227272727272727,0.045454545454545456
PC_OFF,H1_off,probability,matched_uniform,dark_boundary,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049178386107087135,0.04754207283258438,0.0016363132745027542,-6.0,-6.0,0.0,-2.0,-2.0,0.0
all,H1_off,probability,matched_uniform,dark_boundary,22,0.0,0.0,0.0,0.0,0.0,0.0,-0.010137558999386702,-0.010903293774886564,0.0007657347754998641,0.01606260748072104,0.016097477891228416,-3.4870410507375546e-05,-3.6363636363636362,-3.6363636363636362,0.0,-4.363636363636363,-4.363636363636363,0.0
PC_OFF,H1_off,probability,matched_uniform,bright_boundary,4,0.0,0.0,0.0,0.0,0.0,0.0,-0.05305492877960205,-0.0514991469681263,-0.0015557818114757538,0.0,0.0,0.0,2.0,2.0,0.0,4.0,4.0,0.0
all,H1_off,probability,matched_uniform,bright_boundary,22,0.0,0.0,0.0,0.0,0.0,0.0,-0.017221952026540584,-0.017333695834333248,0.00011174380779266357,0.009695873003114353,0.010394929146224802,-0.0006990561431104487,3.1818181818181817,3.1818181818181817,0.0,2.8181818181818183,2.8181818181818183,0.0
PC_OFF,AC_off,logit,ramp,dark_boundary,4,0.0011991560459136963,0.0015550702810287476,-0.00035591423511505127,0.0,0.0,0.0,0.0011991560459136963,0.0015550702810287476,-0.00035591423511505127,0.41746068000793457,0.5100372135639191,-0.0925765335559845,-5.0,-5.0,0.0,-2.0,-2.0,0.0
all,AC_off,logit,ramp,dark_boundary,22,0.000488292087208141,0.0009012330662120472,-0.00041294097900390625,-0.00026928836649114436,-0.0013402158563787286,0.0010709274898875844,-0.2105098773132671,-0.24214742129499262,0.03163754398172552,0.1446184434674003,0.1654512177814137,-0.020832774314013393,-3.090909090909091,-3.090909090909091,0.0,-3.909090909090909,-3.909090909090909,0.0
PC_OFF,AC_off,logit,ramp,bright_boundary,4,0.0,0.0,0.0,-0.0011991262435913086,-0.0015550702810287476,0.00035594403743743896,-0.4174608290195465,-0.5100371241569519,0.0925762951374054,-0.0011991262435913086,-0.0015550702810287476,0.00035594403743743896,2.0,2.0,0.0,5.0,5.0,0.0
