cell_id,group,condition,mode,offset_ms,peak_response_probability,peak_response_logit,peak_latency_ms_probability,peak_latency_ms_logit,response_integral_probability_s,response_integral_logit_s,integral_change_vs_center_only,integral_fraction_vs_center_only,peak_change_vs_center_only,peak_fraction_vs_center_only,center_onset_response,center_offset_response,surround_onset_response,surround_offset_response
69#21,PC_OFF,center_then_surround_100ms,H1_off,100.0,0.1325872242450714,0.6316953301429749,400.0,400.0,0.0036957308184355497,0.01000115554779768,-0.009231088915839791,-0.7141036314882342,0.0,0.0,0.029782980680465698,0.08466465771198273,0.08466465771198273,-0.07070980966091156
69#21,PC_OFF,center_only,AC_off,,0.13211914896965027,0.6296921968460083,400.0,400.0,0.01287022139877081,0.06360646337270737,0.0,0.0,0.0,0.0,0.02973475493490696,0.09924693405628204,,
69#21,PC_OFF,surround_only,AC_off,,-0.0009593069553375244,-0.005268454551696777,420.0,420.0,-0.0001135978163802065,-0.0006236577173694968,-0.012983819215151016,-1.008826407321249,-0.1330784559249878,-1.0072609229079874,,,-9.995698928833008e-05,-0.0008992347866296768
69#21,PC_OFF,surround_then_center_100ms,AC_off,-100.0,0.13178440928459167,0.6282590627670288,400.0,400.0,0.012745994143188,0.06298475712537766,-0.00012422725558280945,-0.009652301365590647,-0.00033473968505859375,-0.0025336197490606637,0.028769055381417274,0.09908192604780197,-9.995698928833008e-05,0.028769055381417274
69#21,PC_OFF,surround_then_center_50ms,AC_off,-50.0,0.13115176558494568,0.6255491375923157,400.0,400.0,0.01273728534579277,0.06298651546239853,-0.0001329360529780388,-0.01032896395944945,-0.0009673833847045898,-0.007322052800437067,0.029091140255331993,0.09860283136367798,-9.352181950816885e-05,0.10244570672512054
69#21,PC_OFF,center_surround_simultaneous,AC_off,0.0,0.1310194730758667,0.6249820590019226,400.0,400.0,0.012737245298922062,0.06298664212226868,-0.00013297609984874725,-0.010332075550887365,-0.0010996758937835693,-0.008323364950194928,0.029621383175253868,0.09815217554569244,0.029621383175253868,0.09815217554569244
69#21,PC_OFF,center_then_surround_50ms,AC_off,50.0,0.13170087337493896,0.6279013156890869,400.0,400.0,0.012746407650411129,0.06298523396253586,-0.00012381374835968018,-0.009620172374929402,-0.0004182755947113037,-0.0031658968285315538,0.02973475493490696,0.09853754937648773,0.1034441813826561,0.02436792477965355
69#21,PC_OFF,center_then_surround_100ms,AC_off,100.0,0.13211914896965027,0.6296921968460083,400.0,400.0,0.012754264287650585,0.06298379600048065,-0.000115957111120224,-0.009009721552365731,0.0,0.0,0.02973475493490696,0.09912991523742676,0.09912991523742676,-0.0009865351021289825
70#1,PC_ON,center_only,normal,,0.12551558017730713,0.6020557284355164,406.6666666666667,406.6666666666667,0.012227796949446201,0.06080674007534981,0.0,0.0,0.0,0.0,0.02716674841940403,0.0954468846321106,,
70#1,PC_ON,surround_only,normal,,-0.08989016711711884,-0.5828334093093872,406.6666666666667,406.6666666666667,-0.010215933434665203,-0.06302542239427567,-0.022443730384111404,-1.8354680304965225,-0.21540574729442596,-1.7161674032031502,,,-0.017569761723279953,-0.07879973948001862
