group,probe,mode,channel,n_cells,peak_response,peak_absolute_response,peak_latency_ms_from_trial_start,peak_latency_ms_from_onset,response_integral_seconds,peak_change_vs_center_only,integral_change_vs_center_only,center_onset_50ms,center_offset_50ms,surround_first_onset_50ms,surround_first_offset_50ms,off_minus_normal_mean_abs_active,off_minus_normal_peak_signed,off_minus_normal_peak_absolute,off_minus_normal_integral_seconds
PC_OFF,slow_step,direct_BC_off,logit,4,-0.26465533673763275,0.26465533673763275,531.6666666666667,231.66666666666669,-0.2752446383237839,-0.12675991654396057,0.0003022328019142151,-0.021756285801529884,-0.009910913184285164,-0.021756285801529884,-0.2436041459441185,0.47641080617904663,-0.49518074840307236,0.49518074840307236,-0.9730479270219803
all,slow_step,direct_BC_off,logit,22,-0.3638041344555942,0.3638041344555942,520.6060606060606,220.60606060606062,-0.37391404943032697,-0.17634261738170276,0.0006134347482161088,-0.03678481314669956,-0.00920251960104162,-0.03678481314669956,-0.32800983637571335,0.4114210388877175,-0.42652240801941266,0.42652240801941266,-0.8409439650448886
PC_OFF,slow_1Hz,direct_BC_off,logit,4,-0.2646601051092148,0.2646601051092148,781.6666666666667,481.6666666666667,-0.2752782553434372,-0.1267646849155426,0.0002686157822608948,-0.021756285801529884,-0.009901922196149826,-0.021756285801529884,-0.24361344426870346,0.47644681483507156,-0.4951815754175186,0.4951815754175186,-0.9731200486421585
all,slow_1Hz,direct_BC_off,logit,22,-0.3638209483840249,0.3638209483840249,838.7878787878789,538.7878787878789,-0.3739781840281053,-0.1763594313101335,0.0005493001504377885,-0.03678481314669956,-0.009190934964201668,-0.03678481314669956,-0.3280216353860768,0.41148496486923913,-0.42653844031420624,0.42653844031420624,-0.8410718115893278
PC_OFF,slow_2Hz,direct_BC_off,logit,4,-0.2646564692258835,0.2646564692258835,656.6666666666667,356.6666666666667,-0.2753451466560364,-0.1267610490322113,0.00020172446966171265,-0.021756285801529884,-0.009736813604831696,-0.021756285801529884,-0.24611486122012138,0.476517990231514,-0.49519962072372437,0.49519962072372437,-0.9732632637023926
all,slow_2Hz,direct_BC_off,logit,22,-0.3638040098277005,0.3638040098277005,629.3939393939395,329.39393939393943,-0.3741059371016242,-0.17634249275380914,0.0004215470769188621,-0.03678481314669956,-0.008992555805227974,-0.03678481314669956,-0.3321752074089917,0.41161220046606933,-0.4265581423586065,0.4265581423586065,-0.8413263288411227
PC_OFF,rapid_10Hz,direct_BC_off,logit,4,-0.1909957230091095,0.1909957230091095,476.6666666666667,176.66666666666669,-0.27553902566432953,-0.05310030281543732,7.845461368560791e-06,-0.021756285801529884,-0.08943017199635506,-0.021756285801529884,-0.15246760845184326,0.47678913176059723,-0.4941803738474846,0.4941803738474846,-0.9736532866954803
all,rapid_10Hz,direct_BC_off,logit,22,-0.28563970598307525,0.28563970598307525,485.7575757575758,185.75757575757578,-0.3745008571581407,-0.09817818890918385,2.662702040238814e-05,-0.03678481314669956,-0.09900703755292026,-0.03678481314669956,-0.233073582703417,0.41210327771576966,-0.42565537176348944,0.42565537176348944,-0.8421075208620592
PC_OFF,rapid_20Hz,direct_BC_off,logit,4,-0.1519458293914795,0.1519458293914795,556.6666666666667,256.66666666666674,-0.2755461037158966,-0.014050409197807312,7.674098014831543e-07,-0.02085190825164318,-0.11696718260645866,-0.02085190825164318,-0.06984678842127323,0.47688958793878555,-0.49047377705574036,0.49047377705574036,-0.9736604988574982
all,rapid_20Hz,direct_BC_off,logit,22,-0.2195775481787595,0.2195775481787595,540.3030303030304,240.3030303030303,-0.37452469766139984,-0.03211603110486811,2.7865171432495117e-06,-0.034423484382304276,-0.15288263220678677,-0.034423484382304276,-0.11199470033699815,0.41218559173020447,-0.4236818714575334,0.4236818714575334,-0.8421506394039501
