cohort,cell_id,fit,quantity,mode,effective_value,lower_bound,upper_bound,u,active_lower_bound,active_u,boundary,unit,median_zero,median_aligned,median_abs_change,median_relative_change,increase_count,decrease_count,rank_correlation,minimum,maximum,range,sample_SD,CV,NLL_spread
alignment_value,67#7,zero,delay_BC_sustained,0,14.69379997253418,0.0,30.0,0.489793332417806,12.428383588790894,0.12892475744565848,interior,ms,,,,,,,,,,,,,
alignment_value,67#7,zero,delay_BC_transient,0,12.428380012512207,0.0,20.0,0.6214190006256104,0.0,0.6214190006256104,interior,ms,,,,,,,,,,,,,
alignment_value,67#7,zero,delay_AC_local_downstream,0,16.80042839050293,0.0,40.0,0.42001070976257326,14.174877166748047,0.10166655317411584,interior,ms,,,,,,,,,,,,,
alignment_value,67#7,zero,delay_AC_transient_downstream,0,14.174872398376465,0.0,25.0,0.5669948959350586,0.0,0.5669948959350586,interior,ms,,,,,,,,,,,,,
alignment_value,67#7,aligned,H1_effective_amplitude,0,0.09144219756126404,,,,,,,,,,,,,,,,,,,,
alignment_value,67#7,aligned,BC_effective_weights,0,0.019596930593252182,,,,,,,,,,,,,,,,,,,,
alignment_value,67#7,aligned,BC_effective_weights,1,0.016442066058516502,,,,,,,,,,,,,,,,,,,,
alignment_value,67#7,aligned,BC_effective_weights,2,0.015461195260286331,,,,,,,,,,,,,,,,,,,,
alignment_value,67#7,aligned,BC_effective_weights,3,0.019480101764202118,,,,,,,,,,,,,,,,,,,,
alignment_value,67#7,aligned,BC_effective_weights,4,0.016398735344409943,,,,,,,,,,,,,,,,,,,,
alignment_value,67#7,aligned,BC_effective_weights,5,0.01573980413377285,,,,,,,,,,,,,,,,,,,,
alignment_value,67#7,aligned,BC_effective_weights,6,0.1637991964817047,,,,,,,,,,,,,,,,,,,,
alignment_value,67#7,aligned,BC_effective_weights,7,0.24704736471176147,,,,,,,,,,,,,,,,,,,,
alignment_value,67#7,aligned,BC_effective_weights,8,0.0690496489405632,,,,,,,,,,,,,,,,,,,,
alignment_value,67#7,aligned,BC_effective_weights,9,0.15478672087192535,,,,,,,,,,,,,,,,,,,,
alignment_value,67#7,aligned,BC_effective_weights,10,0.20498591661453247,,,,,,,,,,,,,,,,,,,,
alignment_value,67#7,aligned,BC_effective_weights,11,0.05721229687333107,,,,,,,,,,,,,,,,,,,,
alignment_value,67#7,aligned,AC_effective_gates,0,0.17019714415073395,,,,,,,,,,,,,,,,,,,,
alignment_value,67#7,aligned,AC_effective_gates,1,0.8298028111457825,,,,,,,,,,,,,,,,,,,,
alignment_value,67#7,aligned,cell_BC_gains,0,0.9120887517929077,,,,,,,,,,,,,,,,,,,,
alignment_value,67#7,aligned,cell_AC_gains,0,1.3201680183410645,,,,,,,,,,,,,,,,,,,,
alignment_value,67#7,aligned,history_gate,0,0.0,,,,,,,,,,,,,,,,,,,,
alignment_value,67#7,aligned,tau_H1,0,15.087121963500977,10.0,200.0,0.02677432612368935,10.0,0.02677432612368935,lower,ms,,,,,,,,,,,,,
alignment_value,67#7,aligned,tau_BC_sustained_basis,0,23.84099769592285,20.0,200.0,0.021338876088460287,20.0,0.021338876088460287,lower,ms,,,,,,,,,,,,,
alignment_value,67#7,aligned,tau_BC_sustained_basis,1,62.257728576660156,20.0,200.0,0.2347651587592231,20.0,0.2347651587592231,interior,ms,,,,,,,,,,,,,
alignment_value,67#7,aligned,tau_BC_sustained_basis,2,113.02423095703125,20.0,200.0,0.516801283094618,20.0,0.516801283094618,interior,ms,,,,,,,,,,,,,
alignment_value,67#7,aligned,tau_BC_transient_basis,0,7.033970355987549,5.0,120.0,0.017686698747717815,5.0,0.017686698747717815,lower,ms,,,,,,,,,,,,,
alignment_value,67#7,aligned,tau_BC_transient_basis,1,7.44877815246582,5.0,120.0,0.021293723064920177,5.0,0.021293723064920177,lower,ms,,,,,,,,,,,,,
alignment_value,67#7,aligned,tau_BC_transient_basis,2,8.145049095153809,5.0,120.0,0.027348253001337464,5.0,0.027348253001337464,lower,ms,,,,,,,,,,,,,
alignment_value,67#7,aligned,tau_AC_local_state,0,26.170787811279297,20.0,250.0,0.026829512222953465,20.0,0.026829512222953465,lower,ms,,,,,,,,,,,,,
alignment_value,67#7,aligned,tau_AC_transient_state,0,15.826149940490723,15.0,180.0,0.00500696933630741,15.0,0.00500696933630741,lower,ms,,,,,,,,,,,,,
alignment_value,67#7,aligned,delay_H1,0,18.12785530090332,0.0,20.0,0.906392765045166,0.0,0.906392765045166,interior,ms,,,,,,,,,,,,,
alignment_value,67#7,aligned,delay_BC_sustained,0,14.593764305114746,0.0,30.0,0.48645881017049153,12.740869283676147,0.10735737806806879,interior,ms,,,,,,,,,,,,,
alignment_value,67#7,aligned,delay_BC_transient,0,12.740865707397461,0.0,20.0,0.6370432853698731,0.0,0.6370432853698731,interior,ms,,,,,,,,,,,,,
alignment_value,67#7,aligned,delay_AC_local_downstream,0,17.31864356994629,0.0,40.0,0.4329660892486572,14.73644733428955,0.10221033715347108,interior,ms,,,,,,,,,,,,,
alignment_value,67#7,aligned,delay_AC_transient_downstream,0,14.736442565917969,0.0,25.0,0.5894577026367187,0.0,0.5894577026367187,interior,ms,,,,,,,,,,,,,
alignment_value,67#14,zero,H1_effective_amplitude,0,0.020809059962630272,,,,,,,,,,,,,,,,,,,,
alignment_value,67#14,zero,BC_effective_weights,0,0.04091132432222366,,,,,,,,,,,,,,,,,,,,
alignment_value,67#14,zero,BC_effective_weights,1,0.036520522087812424,,,,,,,,,,,,,,,,,,,,
