split,cell_id,group,quantile,bins,event_rate,local_mean,LSC,aligned_nll,LN_nll,CNN_nll,aligned_minus_LN,aligned_minus_CNN
consumed,68#11,PC_OFF,3,5810,0.16781411359724613,0.3811316195379019,0.09751389936368471,0.40576948128384094,0.3950044312409629,0.4533624325772639,0.010765050042877982,-0.04759295129342294
consumed,68#11,PC_OFF,4,5418,0.1461794019933555,0.8980646274690613,0.20076739235743837,0.376807093754915,0.3700467457645234,0.40682629381630214,0.0067603479903915655,-0.030019200061387134
consumed,68#11,PC_OFF,5,6923,0.09908998988877654,2.6436687537463004,0.7819152716902412,0.2649431732094431,0.2595284756056276,0.2939475705874003,0.005414697603815451,-0.0290043973779572
consumed,69#3,PC_OFF,1,8085,0.40667903525046384,-0.6090474443134722,0.010913894872865515,0.6047310467789898,0.6121022955514752,0.6356508704214627,-0.007371248772485528,-0.030919823642472883
consumed,69#3,PC_OFF,2,5502,0.34042166484914577,-0.1548131872193359,0.04301168094636186,0.569476452842662,0.576672990640864,0.590023834116123,-0.007196537798201886,-0.020547381273460983
consumed,69#3,PC_OFF,3,6734,0.292990792990793,0.2105362142636545,0.09606556011136705,0.5391918796654098,0.5416267491903646,0.5603754139244063,-0.002434869524954796,-0.021183534258996543
consumed,69#3,PC_OFF,4,6699,0.27765338110165694,0.8927652708708389,0.2174042886766621,0.5004898582799766,0.5059655183552104,0.5194445949759174,-0.005475660075233713,-0.01895473669594073
consumed,69#3,PC_OFF,5,6580,0.2560790273556231,2.670404706984304,0.8892857064826603,0.4597034154294311,0.4645186066499163,0.4965097781541002,-0.004815191220485173,-0.0368063627246691
consumed,69#4,MC_ON,1,6648,0.12409747292418773,-0.619673995039172,0.018759861741368105,0.32092206989569816,0.29460822686141286,0.27154940088893986,0.02631384303428529,0.04937266900675826
consumed,69#4,MC_ON,2,5130,0.20428849902534113,-0.13706789631612853,0.07957420561969292,0.40146671470294454,0.40407654387408687,0.36603129782622196,-0.0026098291711422928,0.03543541687672266
consumed,69#4,MC_ON,3,5634,0.23003194888178913,0.13139486483642362,0.1684895143863799,0.4462554487812357,0.43744830442496485,0.4225713840823643,0.008807144356270741,0.02368406469887131
consumed,69#4,MC_ON,4,5628,0.26510305614783225,0.7721062564567351,0.3710629989759701,0.49169367860601515,0.48668407852029194,0.471507184140425,0.00500960008572324,0.02018649446559017
consumed,69#4,MC_ON,5,5760,0.2765625,2.845885437727678,1.3116057429761705,0.5176257804680803,0.5189532697772724,0.5026052976385298,-0.001327489309192119,0.015020482829550439
