split,cell_id,comparator,mean_stratum,low_bins,high_bins,overlap_count,weight,eligible,excess_nll,low_local_mean,high_local_mean
consumed,67#21,LN,5,91,4606,91,0.07647058823529412,True,-0.05303199291540408,3.3250311452608843,3.868320585167553
consumed,67#21,CNN,1,6454,7,7,0.0058823529411764705,True,0.042045311312586715,-0.7459287857737821,-0.5673859305679798
consumed,67#21,CNN,2,938,112,112,0.09411764705882353,True,-0.06661065473775571,-0.43868015178326353,-0.3747267911094241
consumed,67#21,CNN,3,833,672,672,0.5647058823529412,True,-0.007416470305642735,-0.08283135176117423,0.0004478782855888615
consumed,67#21,CNN,4,308,1351,308,0.25882352941176473,True,-0.005229594220207376,0.546034358357164,0.5795874303774402
consumed,67#21,CNN,5,91,4606,91,0.07647058823529412,True,0.07803199022453917,3.3250311452608843,3.868320585167553
consumed,67#26,LN,1,6307,0,0,0.0,False,,-0.7472588013266354,
consumed,67#26,LN,2,833,112,112,0.10884353741496598,True,-0.011165150020670393,-0.4302779191682318,-0.3811181954108179
consumed,67#26,LN,3,595,609,595,0.5782312925170068,True,0.0117402475485145,-0.07015476253650645,-0.021825770112610925
consumed,67#26,LN,4,294,1596,294,0.2857142857142857,True,0.008989762680980961,0.4965210091500055,0.6016705417719653
consumed,67#26,LN,5,28,4676,28,0.027210884353741496,True,0.023268623806125016,1.4722055494785309,3.8395001026514213
consumed,67#26,CNN,1,6307,0,0,0.0,False,,-0.7472588013266354,
consumed,67#26,CNN,2,833,112,112,0.10884353741496598,True,0.005868509293414474,-0.4302779191682318,-0.3811181954108179
consumed,67#26,CNN,3,595,609,595,0.5782312925170068,True,-0.0155723898123315,-0.07015476253650645,-0.021825770112610925
consumed,67#26,CNN,4,294,1596,294,0.2857142857142857,True,-0.05136703092040954,0.4965210091500055,0.6016705417719653
consumed,67#26,CNN,5,28,4676,28,0.027210884353741496,True,0.03719641131344105,1.4722055494785309,3.8395001026514213
consumed,67#33,LN,1,6370,7,7,0.008547008547008548,True,0.017585844254494328,-0.7411518136158096,-0.5970812499523165
consumed,67#33,LN,2,798,70,70,0.08547008547008547,True,0.004381910979024277,-0.43540794746133316,-0.3937610239535571
consumed,67#33,LN,3,770,427,427,0.5213675213675214,True,0.016488991291444634,-0.13286576863011842,-0.01803021300584078
consumed,67#33,LN,4,238,1505,238,0.2905982905982906,True,-0.0113135795049428,0.451902208630653,0.5777006575949274
consumed,67#33,LN,5,77,4921,77,0.09401709401709402,True,0.0023299135588550762,1.8619685129685828,3.6798018622818365
consumed,67#33,CNN,1,6370,7,7,0.008547008547008548,True,0.038693618672834926,-0.7411518136158096,-0.5970812499523165
consumed,67#33,CNN,2,798,70,70,0.08547008547008547,True,-0.25533411470521233,-0.43540794746133316,-0.3937610239535571
consumed,67#33,CNN,3,770,427,427,0.5213675213675214,True,0.059006961030848355,-0.13286576863011842,-0.01803021300584078
consumed,67#33,CNN,4,238,1505,238,0.2905982905982906,True,-0.03933124641883469,0.451902208630653,0.5777006575949274
consumed,67#33,CNN,5,77,4921,77,0.09401709401709402,True,0.175081052855998,1.8619685129685828,3.6798018622818365
consumed,67#34,LN,1,6832,0,0,0.0,False,,-0.7422912567319562,
consumed,67#34,LN,2,1526,168,168,0.14906832298136646,True,-0.0364940090237751,-0.37829372886602486,-0.29743405201346224
consumed,67#34,LN,3,588,497,497,0.4409937888198758,True,-0.01871293112943558,-0.01379353047962338,0.012452685018397972
consumed,67#34,LN,4,392,1547,392,0.34782608695652173,True,-9.585590237542324e-06,0.46018699230626225,0.6192531331272216
consumed,67#34,LN,5,70,3913,70,0.062111801242236024,True,-0.006525925924174319,2.1640259116888045,3.9985328195196446
consumed,67#34,CNN,1,6832,0,0,0.0,False,,-0.7422912567319562,
consumed,67#34,CNN,2,1526,168,168,0.14906832298136646,True,-0.06916062979242317,-0.37829372886602486,-0.29743405201346224
consumed,67#34,CNN,3,588,497,497,0.4409937888198758,True,-0.0008573509181022954,-0.01379353047962338,0.012452685018397972
consumed,67#34,CNN,4,392,1547,392,0.34782608695652173,True,0.0076306341627861134,0.46018699230626225,0.6192531331272216
consumed,67#34,CNN,5,70,3913,70,0.062111801242236024,True,0.19949942081338187,2.1640259116888045,3.9985328195196446
consumed,68#3,LN,1,6608,0,0,0.0,False,,-0.7262545461098184,
consumed,68#3,LN,2,1575,119,119,0.1118421052631579,True,0.012220286304251721,-0.3441036765767192,-0.30732016041806404
consumed,68#3,LN,3,672,553,553,0.5197368421052632,True,-0.00783838555595025,0.005792820509971837,0.043825551721183034
consumed,68#3,LN,4,280,1274,280,0.2631578947368421,True,0.002394930804123372,0.5408933895640076,0.5656814652273638
consumed,68#3,LN,5,112,4893,112,0.10526315789473684,True,0.0019448821963590872,1.5424407441169024,3.7368373163030117
consumed,68#3,CNN,1,6608,0,0,0.0,False,,-0.7262545461098184,
consumed,68#3,CNN,2,1575,119,119,0.1118421052631579,True,-0.043871263567797164,-0.3441036765767192,-0.30732016041806404
consumed,68#3,CNN,3,672,553,553,0.5197368421052632,True,0.00949735920989,0.005792820509971837,0.043825551721183034
consumed,68#3,CNN,4,280,1274,280,0.2631578947368421,True,-0.031191721246584186,0.5408933895640076,0.5656814652273638
consumed,68#3,CNN,5,112,4893,112,0.10526315789473684,True,0.08494721400079219,1.5424407441169024,3.7368373163030117
consumed,68#4,LN,1,5754,0,0,0.0,False,,-0.7451592537318413,
consumed,68#4,LN,2,1020,66,66,0.0582010582010582,True,0.0029804767782445566,-0.41708218893584076,-0.39370082465536665
consumed,68#4,LN,3,906,516,516,0.455026455026455,True,0.02104178991769246,-0.13829632597976974,-0.045925089703194165
consumed,68#4,LN,4,396,1194,396,0.3492063492063492,True,0.009707778678256448,0.4061843406296138,0.48348620601257364
consumed,68#4,LN,5,156,3840,156,0.13756613756613756,True,-0.004887997238165535,1.8304272913015807,3.8623546130723603
consumed,68#4,CNN,1,5754,0,0,0.0,False,,-0.7451592537318413,
consumed,68#4,CNN,2,1020,66,66,0.0582010582010582,True,0.022827190752824897,-0.41708218893584076,-0.39370082465536665
consumed,68#4,CNN,3,906,516,516,0.455026455026455,True,0.016569219876581862,-0.13829632597976974,-0.045925089703194165
consumed,68#4,CNN,4,396,1194,396,0.3492063492063492,True,-0.018571884282002758,0.4061843406296138,0.48348620601257364
consumed,68#4,CNN,5,156,3840,156,0.13756613756613756,True,-0.016351766018996097,1.8304272913015807,3.8623546130723603
consumed,68#7,LN,1,6545,0,0,0.0,False,,-0.7466778984681808,
consumed,68#7,LN,2,1246,84,84,0.07407407407407407,True,0.0402018650947512,-0.42914719017369024,-0.36816923630734283
consumed,68#7,LN,3,854,574,574,0.5061728395061729,True,0.005848020543383166,-0.07500890728630617,0.023380237547737524
consumed,68#7,LN,4,280,1106,280,0.24691358024691357,True,-0.02113804253538295,0.464917432423681,0.4991567809104052
consumed,68#7,LN,5,196,4683,196,0.1728395061728395,True,-0.00228633410127059,1.9274719756628786,3.677182132615097
consumed,68#7,CNN,1,6545,0,0,0.0,False,,-0.7466778984681808,
consumed,68#7,CNN,2,1246,84,84,0.07407407407407407,True,-0.03599788180381768,-0.42914719017369024,-0.36816923630734283
consumed,68#7,CNN,3,854,574,574,0.5061728395061729,True,-0.013208224939045325,-0.07500890728630617,0.023380237547737524
consumed,68#7,CNN,4,280,1106,280,0.24691358024691357,True,0.011749745466667252,0.464917432423681,0.4991567809104052
